cohort,container_id,total_sequences,peak_sequences_p85,peak_sequence_pct_p85,mean_peak_steps_p85,peak_sequences_p90,peak_sequence_pct_p90,mean_peak_steps_p90,peak_sequences_p95,peak_sequence_pct_p95,mean_peak_steps_p95
official_all_containers,c_11307,422,422,100.0,20.433649289099527,422,100.0,13.372037914691942,422,100.0,6.125592417061611
official_all_containers,c_11327,420,420,100.0,16.571428571428573,420,100.0,16.571428571428573,420,100.0,5.947619047619048
official_all_containers,c_11461,417,417,100.0,16.033573141486812,417,100.0,10.496402877697841,417,100.0,5.741007194244604
official_all_containers,c_11735,421,421,100.0,25.80997624703088,421,100.0,10.885985748218527,421,100.0,8.824228028503564
official_all_containers,c_11752,420,420,100.0,20.26904761904762,420,100.0,20.26904761904762,420,100.0,6.580952380952381
official_all_containers,c_1181,417,417,100.0,17.45083932853717,417,100.0,11.928057553956835,417,100.0,5.892086330935252
official_all_containers,c_1186,421,347,82.42280285035629,14.39667458432304,346,82.18527315914488,13.323040380047505,330,78.38479809976246,5.38479809976247
official_all_containers,c_11996,421,421,100.0,14.94061757719715,421,100.0,9.807600950118765,421,100.0,5.2304038004750595
official_all_containers,c_12060,422,422,100.0,14.234597156398104,422,100.0,11.73222748815166,405,95.97156398104265,4.5829383886255926
official_all_containers,c_12158,419,419,100.0,14.496420047732697,419,100.0,9.713603818615752,419,100.0,5.109785202863962
official_all_containers,c_12164,422,422,100.0,12.476303317535544,422,100.0,7.606635071090047,346,81.99052132701422,2.1066350710900474
official_all_containers,c_12174,422,422,100.0,18.92654028436019,422,100.0,11.611374407582938,422,100.0,11.611374407582938
official_all_containers,c_12189,422,422,100.0,12.793838862559241,422,100.0,11.22037914691943,422,100.0,6.895734597156398
official_all_containers,c_12193,418,418,100.0,13.980861244019138,418,100.0,13.980861244019138,418,100.0,4.488038277511961
official_all_containers,c_12231,422,179,42.41706161137441,14.514218009478673,179,42.41706161137441,9.770142180094787,91,21.563981042654028,5.170616113744076
official_all_containers,c_12237,416,254,61.057692307692314,16.286057692307693,250,60.09615384615385,10.798076923076923,248,59.61538461538461,4.326923076923077
official_all_containers,c_12441,419,419,100.0,18.171837708830548,419,100.0,9.023866348448687,419,100.0,4.5465393794749405
official_all_containers,c_12517,421,421,100.0,18.501187648456057,421,100.0,12.612826603325416,421,100.0,11.505938242280285
official_all_containers,c_12624,421,421,100.0,15.548693586698338,421,100.0,15.548693586698338,421,100.0,7.5866983372921615
official_all_containers,c_12767,422,422,100.0,14.703791469194313,422,100.0,10.123222748815166,422,100.0,8.803317535545023
official_all_containers,c_12858,422,422,100.0,14.407582938388625,422,100.0,12.566350710900474,422,100.0,12.566350710900474
official_all_containers,c_1286,420,420,100.0,13.876190476190477,420,100.0,11.392857142857142,402,95.71428571428572,3.7214285714285715
official_all_containers,c_12971,422,422,100.0,16.343601895734597,422,100.0,13.940758293838863,422,100.0,6.822274881516588
official_all_containers,c_12974,420,420,100.0,15.914285714285715,420,100.0,9.395238095238096,420,100.0,9.197619047619048
official_all_containers,c_12993,421,421,100.0,13.247030878859858,421,100.0,8.572446555819477,357,84.79809976247031,3.888361045130641
official_all_containers,c_12999,420,420,100.0,12.82857142857143,420,100.0,7.792857142857143,404,96.19047619047619,4.809523809523809
official_all_containers,c_13020,421,421,100.0,16.819477434679335,421,100.0,12.216152019002376,421,100.0,5.380047505938243
official_all_containers,c_13044,420,420,100.0,18.96904761904762,420,100.0,18.96904761904762,420,100.0,4.9714285714285715
official_all_containers,c_13083,422,422,100.0,21.95260663507109,422,100.0,11.514218009478673,422,100.0,8.862559241706162
official_all_containers,c_13166,422,422,100.0,15.286729857819905,422,100.0,10.845971563981042,256,60.66350710900474,5.184834123222749
official_all_containers,c_13170,422,422,100.0,10.4739336492891,419,99.28909952606635,4.471563981042654,370,87.67772511848341,2.09478672985782
official_all_containers,c_13229,422,422,100.0,17.319905213270143,422,100.0,9.945497630331754,422,100.0,7.009478672985782
official_all_containers,c_13269,422,422,100.0,15.883886255924171,422,100.0,12.616113744075829,422,100.0,7.063981042654029
official_all_containers,c_13308,422,422,100.0,96.0,422,100.0,96.0,422,100.0,96.0
official_all_containers,c_13389,421,262,62.23277909738717,13.541567695961994,259,61.520190023752974,9.729216152019003,258,61.282660332541575,4.881235154394299
official_all_containers,c_13403,421,421,100.0,16.173396674584325,421,100.0,13.118764845605702,421,100.0,13.118764845605702
official_all_containers,c_13441,418,418,100.0,17.282296650717704,418,100.0,9.349282296650717,418,100.0,5.516746411483253
official_all_containers,c_13607,422,422,100.0,14.492890995260664,422,100.0,12.990521327014218,422,100.0,12.990521327014218
official_all_containers,c_13615,422,368,87.20379146919431,10.5260663507109,364,86.25592417061611,7.177725118483412,260,61.61137440758294,4.535545023696683
official_all_containers,c_13658,421,421,100.0,28.94536817102138,421,100.0,10.874109263657957,421,100.0,6.798099762470309
official_all_containers,c_13690,422,422,100.0,19.59004739336493,422,100.0,9.665876777251185,422,100.0,4.862559241706161
official_all_containers,c_1379,422,422,100.0,36.27014218009479,422,100.0,36.27014218009479,422,100.0,5.850710900473934
official_all_containers,c_1387,421,421,100.0,15.79809976247031,421,100.0,15.79809976247031,421,100.0,6.346793349168646
official_all_containers,c_13873,420,420,100.0,16.385714285714286,420,100.0,13.064285714285715,420,100.0,13.064285714285715
official_all_containers,c_14106,416,416,100.0,96.0,416,100.0,96.0,416,100.0,96.0
official_all_containers,c_14135,422,422,100.0,18.68957345971564,422,100.0,12.736966824644549,408,96.6824644549763,5.319905213270142
official_all_containers,c_14296,422,422,100.0,14.985781990521327,422,100.0,12.689573459715639,422,100.0,7.37914691943128
official_all_containers,c_14363,421,421,100.0,16.36104513064133,421,100.0,10.90023752969121,421,100.0,8.206650831353919
official_all_containers,c_14388,421,347,82.42280285035629,11.973871733966746,347,82.42280285035629,11.045130641330166,290,68.88361045130641,2.802850356294537
official_all_containers,c_14396,421,266,63.18289786223278,12.403800475059382,263,62.47030878859857,7.940617577197149,263,62.47030878859857,6.173396674584323
official_all_containers,c_14413,422,422,100.0,19.71090047393365,422,100.0,19.71090047393365,422,100.0,6.343601895734597
official_all_containers,c_14416,422,422,100.0,18.31516587677725,422,100.0,8.528436018957345,422,100.0,5.796208530805687
official_all_containers,c_14417,422,422,100.0,9.511848341232227,422,100.0,5.021327014218009,308,72.98578199052133,1.2843601895734598
official_all_containers,c_14435,422,422,100.0,15.921800947867299,422,100.0,15.327014218009479,422,100.0,15.327014218009479
official_all_containers,c_14471,416,416,100.0,7.545673076923077,321,77.16346153846155,5.331730769230769,321,77.16346153846155,3.3509615384615383
official_all_containers,c_14820,421,421,100.0,15.216152019002376,421,100.0,8.30166270783848,421,100.0,4.315914489311164
official_all_containers,c_14855,421,421,100.0,8.524940617577197,421,100.0,5.65083135391924,421,100.0,3.1543942992874108
official_all_containers,c_14886,421,421,100.0,12.560570071258907,421,100.0,9.541567695961994,421,100.0,5.603325415676959
official_all_containers,c_1494,421,421,100.0,24.10688836104513,421,100.0,13.080760095011877,421,100.0,9.729216152019003
official_all_containers,c_14964,420,420,100.0,13.802380952380952,418,99.52380952380952,10.361904761904762,383,91.19047619047619,3.9047619047619047
official_all_containers,c_15030,421,421,100.0,13.038004750593824,421,100.0,8.491686460807601,421,100.0,4.296912114014252
official_all_containers,c_15035,417,417,100.0,96.0,417,100.0,96.0,417,100.0,96.0
official_all_containers,c_15072,422,422,100.0,17.606635071090047,422,100.0,11.869668246445498,422,100.0,5.414691943127962
official_all_containers,c_15179,421,383,90.97387173396675,14.28503562945368,334,79.33491686460808,9.07125890736342,329,78.14726840855107,4.729216152019003
official_all_containers,c_15235,421,421,100.0,12.584323040380047,421,100.0,11.926365795724466,421,100.0,6.3087885985748215
official_all_containers,c_15282,421,421,100.0,15.874109263657957,421,100.0,11.173396674584323,421,100.0,11.173396674584323
official_all_containers,c_15420,419,419,100.0,18.16945107398568,419,100.0,18.16945107398568,419,100.0,18.16945107398568
official_all_containers,c_15446,422,422,100.0,96.0,422,100.0,96.0,422,100.0,6.009478672985782
official_all_containers,c_15486,422,422,100.0,15.436018957345972,422,100.0,10.182464454976303,416,98.5781990521327,4.7156398104265405
official_all_containers,c_15527,408,319,78.18627450980392,11.22549019607843,301,73.77450980392157,7.845588235294118,295,72.30392156862744,4.5245098039215685
official_all_containers,c_15555,418,418,100.0,15.318181818181818,418,100.0,15.318181818181818,418,100.0,15.318181818181818
official_all_containers,c_15570,422,422,100.0,15.748815165876778,422,100.0,10.372037914691942,422,100.0,10.149289099526067
official_all_containers,c_15604,422,422,100.0,27.319905213270143,422,100.0,27.319905213270143,240,56.872037914691944,1.7914691943127963
official_all_containers,c_15616,422,422,100.0,19.72748815165877,422,100.0,19.72748815165877,422,100.0,19.72748815165877
official_all_containers,c_15630,421,417,99.04988123515439,7.489311163895487,417,99.04988123515439,7.489311163895487,179,42.517814726840854,1.3610451306413303
official_all_containers,c_15640,422,190,45.023696682464454,7.812796208530806,190,45.023696682464454,7.812796208530806,187,44.312796208530806,5.563981042654029
official_all_containers,c_15642,421,421,100.0,15.258907363420427,421,100.0,15.258907363420427,421,100.0,5.10688836104513
official_all_containers,c_15647,422,367,86.96682464454977,14.341232227488153,367,86.96682464454977,9.947867298578199,317,75.11848341232228,5.938388625592417
official_all_containers,c_15794,420,420,100.0,96.0,420,100.0,96.0,420,100.0,96.0
official_all_containers,c_15856,416,416,100.0,22.951923076923077,416,100.0,22.951923076923077,416,100.0,7.891826923076923
official_all_containers,c_16008,422,422,100.0,15.369668246445498,422,100.0,10.985781990521327,348,82.46445497630332,5.495260663507109
official_all_containers,c_16048,422,422,100.0,17.092417061611375,422,100.0,10.0260663507109,421,99.76303317535546,5.127962085308057
reference_excl_near_idle,c_10032,422,358,84.83412322274881,20.68957345971564,358,84.83412322274881,15.348341232227488,358,84.83412322274881,15.348341232227488
reference_excl_near_idle,c_10034,421,421,100.0,21.102137767220903,421,100.0,11.311163895486937,421,100.0,6.0997624703087885
reference_excl_near_idle,c_10089,422,422,100.0,20.68483412322275,422,100.0,11.729857819905213,422,100.0,8.836492890995261
reference_excl_near_idle,c_10132,419,419,100.0,16.816229116945106,419,100.0,16.816229116945106,419,100.0,4.797136038186157
reference_excl_near_idle,c_1016,422,422,100.0,22.05687203791469,422,100.0,11.289099526066352,422,100.0,11.289099526066352
reference_excl_near_idle,c_10306,422,422,100.0,18.267772511848342,422,100.0,18.267772511848342,422,100.0,18.267772511848342
reference_excl_near_idle,c_10312,422,422,100.0,16.96208530805687,422,100.0,16.96208530805687,422,100.0,7.988151658767772
reference_excl_near_idle,c_10382,422,422,100.0,16.75829383886256,422,100.0,12.511848341232227,422,100.0,12.511848341232227
reference_excl_near_idle,c_10393,422,422,100.0,11.658767772511847,422,100.0,8.677725118483412,419,99.28909952606635,2.9786729857819907
reference_excl_near_idle,c_10641,421,421,100.0,14.249406175771972,421,100.0,13.097387173396674,421,100.0,13.097387173396674
reference_excl_near_idle,c_10695,422,422,100.0,13.995260663507109,422,100.0,10.800947867298579,422,100.0,9.317535545023697
reference_excl_near_idle,c_10733,419,419,100.0,16.673031026252982,419,100.0,9.467780429594272,419,100.0,4.854415274463007
reference_excl_near_idle,c_10878,422,422,100.0,14.123222748815166,422,100.0,14.123222748815166,422,100.0,4.855450236966824
reference_excl_near_idle,c_10898,422,422,100.0,29.61611374407583,422,100.0,11.208530805687204,422,100.0,6.016587677725118
reference_excl_near_idle,c_11013,420,420,100.0,14.502380952380953,420,100.0,9.31904761904762,277,65.95238095238095,5.280952380952381
reference_excl_near_idle,c_11087,422,422,100.0,12.701421800947868,422,100.0,8.061611374407583,422,100.0,4.206161137440758
reference_excl_near_idle,c_11203,420,420,100.0,12.454761904761904,420,100.0,7.05,332,79.04761904761905,2.2904761904761903
reference_excl_near_idle,c_11307,422,422,100.0,20.433649289099527,422,100.0,13.372037914691942,422,100.0,6.125592417061611
reference_excl_near_idle,c_11327,420,420,100.0,16.571428571428573,420,100.0,16.571428571428573,420,100.0,5.947619047619048
reference_excl_near_idle,c_11461,417,417,100.0,16.033573141486812,417,100.0,10.496402877697841,417,100.0,5.741007194244604
reference_excl_near_idle,c_11735,421,421,100.0,25.80997624703088,421,100.0,10.885985748218527,421,100.0,8.824228028503564
reference_excl_near_idle,c_11752,420,420,100.0,20.26904761904762,420,100.0,20.26904761904762,420,100.0,6.580952380952381
reference_excl_near_idle,c_1181,417,417,100.0,17.45083932853717,417,100.0,11.928057553956835,417,100.0,5.892086330935252
reference_excl_near_idle,c_1186,421,347,82.42280285035629,14.39667458432304,346,82.18527315914488,13.323040380047505,330,78.38479809976246,5.38479809976247
reference_excl_near_idle,c_11996,421,421,100.0,14.94061757719715,421,100.0,9.807600950118765,421,100.0,5.2304038004750595
reference_excl_near_idle,c_12060,422,422,100.0,14.234597156398104,422,100.0,11.73222748815166,405,95.97156398104265,4.5829383886255926
reference_excl_near_idle,c_12158,419,419,100.0,14.496420047732697,419,100.0,9.713603818615752,419,100.0,5.109785202863962
reference_excl_near_idle,c_12164,422,422,100.0,12.476303317535544,422,100.0,7.606635071090047,346,81.99052132701422,2.1066350710900474
reference_excl_near_idle,c_12174,422,422,100.0,18.92654028436019,422,100.0,11.611374407582938,422,100.0,11.611374407582938
reference_excl_near_idle,c_12189,422,422,100.0,12.793838862559241,422,100.0,11.22037914691943,422,100.0,6.895734597156398
reference_excl_near_idle,c_12193,418,418,100.0,13.980861244019138,418,100.0,13.980861244019138,418,100.0,4.488038277511961
reference_excl_near_idle,c_12231,422,179,42.41706161137441,14.514218009478673,179,42.41706161137441,9.770142180094787,91,21.563981042654028,5.170616113744076
reference_excl_near_idle,c_12237,416,254,61.057692307692314,16.286057692307693,250,60.09615384615385,10.798076923076923,248,59.61538461538461,4.326923076923077
reference_excl_near_idle,c_12441,419,419,100.0,18.171837708830548,419,100.0,9.023866348448687,419,100.0,4.5465393794749405
reference_excl_near_idle,c_12517,421,421,100.0,18.501187648456057,421,100.0,12.612826603325416,421,100.0,11.505938242280285
reference_excl_near_idle,c_12624,421,421,100.0,15.548693586698338,421,100.0,15.548693586698338,421,100.0,7.5866983372921615
reference_excl_near_idle,c_12767,422,422,100.0,14.703791469194313,422,100.0,10.123222748815166,422,100.0,8.803317535545023
reference_excl_near_idle,c_12858,422,422,100.0,14.407582938388625,422,100.0,12.566350710900474,422,100.0,12.566350710900474
reference_excl_near_idle,c_1286,420,420,100.0,13.876190476190477,420,100.0,11.392857142857142,402,95.71428571428572,3.7214285714285715
reference_excl_near_idle,c_12971,422,422,100.0,16.343601895734597,422,100.0,13.940758293838863,422,100.0,6.822274881516588
reference_excl_near_idle,c_12974,420,420,100.0,15.914285714285715,420,100.0,9.395238095238096,420,100.0,9.197619047619048
reference_excl_near_idle,c_12993,421,421,100.0,13.247030878859858,421,100.0,8.572446555819477,357,84.79809976247031,3.888361045130641
reference_excl_near_idle,c_12999,420,420,100.0,12.82857142857143,420,100.0,7.792857142857143,404,96.19047619047619,4.809523809523809
reference_excl_near_idle,c_13020,421,421,100.0,16.819477434679335,421,100.0,12.216152019002376,421,100.0,5.380047505938243
reference_excl_near_idle,c_13044,420,420,100.0,18.96904761904762,420,100.0,18.96904761904762,420,100.0,4.9714285714285715
reference_excl_near_idle,c_13083,422,422,100.0,21.95260663507109,422,100.0,11.514218009478673,422,100.0,8.862559241706162
reference_excl_near_idle,c_13166,422,422,100.0,15.286729857819905,422,100.0,10.845971563981042,256,60.66350710900474,5.184834123222749
reference_excl_near_idle,c_13170,422,422,100.0,10.4739336492891,419,99.28909952606635,4.471563981042654,370,87.67772511848341,2.09478672985782
reference_excl_near_idle,c_13229,422,422,100.0,17.319905213270143,422,100.0,9.945497630331754,422,100.0,7.009478672985782
reference_excl_near_idle,c_13269,422,422,100.0,15.883886255924171,422,100.0,12.616113744075829,422,100.0,7.063981042654029
reference_excl_near_idle,c_13389,421,262,62.23277909738717,13.541567695961994,259,61.520190023752974,9.729216152019003,258,61.282660332541575,4.881235154394299
reference_excl_near_idle,c_13403,421,421,100.0,16.173396674584325,421,100.0,13.118764845605702,421,100.0,13.118764845605702
reference_excl_near_idle,c_13441,418,418,100.0,17.282296650717704,418,100.0,9.349282296650717,418,100.0,5.516746411483253
reference_excl_near_idle,c_13607,422,422,100.0,14.492890995260664,422,100.0,12.990521327014218,422,100.0,12.990521327014218
reference_excl_near_idle,c_13615,422,368,87.20379146919431,10.5260663507109,364,86.25592417061611,7.177725118483412,260,61.61137440758294,4.535545023696683
reference_excl_near_idle,c_13658,421,421,100.0,28.94536817102138,421,100.0,10.874109263657957,421,100.0,6.798099762470309
reference_excl_near_idle,c_13690,422,422,100.0,19.59004739336493,422,100.0,9.665876777251185,422,100.0,4.862559241706161
reference_excl_near_idle,c_1379,422,422,100.0,36.27014218009479,422,100.0,36.27014218009479,422,100.0,5.850710900473934
reference_excl_near_idle,c_1387,421,421,100.0,15.79809976247031,421,100.0,15.79809976247031,421,100.0,6.346793349168646
reference_excl_near_idle,c_13873,420,420,100.0,16.385714285714286,420,100.0,13.064285714285715,420,100.0,13.064285714285715
reference_excl_near_idle,c_14135,422,422,100.0,18.68957345971564,422,100.0,12.736966824644549,408,96.6824644549763,5.319905213270142
reference_excl_near_idle,c_14296,422,422,100.0,14.985781990521327,422,100.0,12.689573459715639,422,100.0,7.37914691943128
reference_excl_near_idle,c_14363,421,421,100.0,16.36104513064133,421,100.0,10.90023752969121,421,100.0,8.206650831353919
reference_excl_near_idle,c_14388,421,347,82.42280285035629,11.973871733966746,347,82.42280285035629,11.045130641330166,290,68.88361045130641,2.802850356294537
reference_excl_near_idle,c_14396,421,266,63.18289786223278,12.403800475059382,263,62.47030878859857,7.940617577197149,263,62.47030878859857,6.173396674584323
reference_excl_near_idle,c_14413,422,422,100.0,19.71090047393365,422,100.0,19.71090047393365,422,100.0,6.343601895734597
reference_excl_near_idle,c_14416,422,422,100.0,18.31516587677725,422,100.0,8.528436018957345,422,100.0,5.796208530805687
reference_excl_near_idle,c_14417,422,422,100.0,9.511848341232227,422,100.0,5.021327014218009,308,72.98578199052133,1.2843601895734598
reference_excl_near_idle,c_14435,422,422,100.0,15.921800947867299,422,100.0,15.327014218009479,422,100.0,15.327014218009479
reference_excl_near_idle,c_14471,416,416,100.0,7.545673076923077,321,77.16346153846155,5.331730769230769,321,77.16346153846155,3.3509615384615383
reference_excl_near_idle,c_14820,421,421,100.0,15.216152019002376,421,100.0,8.30166270783848,421,100.0,4.315914489311164
reference_excl_near_idle,c_14855,421,421,100.0,8.524940617577197,421,100.0,5.65083135391924,421,100.0,3.1543942992874108
reference_excl_near_idle,c_14886,421,421,100.0,12.560570071258907,421,100.0,9.541567695961994,421,100.0,5.603325415676959
reference_excl_near_idle,c_1494,421,421,100.0,24.10688836104513,421,100.0,13.080760095011877,421,100.0,9.729216152019003
reference_excl_near_idle,c_14964,420,420,100.0,13.802380952380952,418,99.52380952380952,10.361904761904762,383,91.19047619047619,3.9047619047619047
reference_excl_near_idle,c_15030,421,421,100.0,13.038004750593824,421,100.0,8.491686460807601,421,100.0,4.296912114014252
reference_excl_near_idle,c_15072,422,422,100.0,17.606635071090047,422,100.0,11.869668246445498,422,100.0,5.414691943127962
reference_excl_near_idle,c_15179,421,383,90.97387173396675,14.28503562945368,334,79.33491686460808,9.07125890736342,329,78.14726840855107,4.729216152019003
reference_excl_near_idle,c_15235,421,421,100.0,12.584323040380047,421,100.0,11.926365795724466,421,100.0,6.3087885985748215
reference_excl_near_idle,c_15282,421,421,100.0,15.874109263657957,421,100.0,11.173396674584323,421,100.0,11.173396674584323
reference_excl_near_idle,c_15420,419,419,100.0,18.16945107398568,419,100.0,18.16945107398568,419,100.0,18.16945107398568
reference_excl_near_idle,c_15486,422,422,100.0,15.436018957345972,422,100.0,10.182464454976303,416,98.5781990521327,4.7156398104265405
reference_excl_near_idle,c_15527,408,319,78.18627450980392,11.22549019607843,301,73.77450980392157,7.845588235294118,295,72.30392156862744,4.5245098039215685
reference_excl_near_idle,c_15555,418,418,100.0,15.318181818181818,418,100.0,15.318181818181818,418,100.0,15.318181818181818
reference_excl_near_idle,c_15570,422,422,100.0,15.748815165876778,422,100.0,10.372037914691942,422,100.0,10.149289099526067
reference_excl_near_idle,c_15604,422,422,100.0,27.319905213270143,422,100.0,27.319905213270143,240,56.872037914691944,1.7914691943127963
reference_excl_near_idle,c_15616,422,422,100.0,19.72748815165877,422,100.0,19.72748815165877,422,100.0,19.72748815165877
reference_excl_near_idle,c_15630,421,417,99.04988123515439,7.489311163895487,417,99.04988123515439,7.489311163895487,179,42.517814726840854,1.3610451306413303
reference_excl_near_idle,c_15640,422,190,45.023696682464454,7.812796208530806,190,45.023696682464454,7.812796208530806,187,44.312796208530806,5.563981042654029
reference_excl_near_idle,c_15642,421,421,100.0,15.258907363420427,421,100.0,15.258907363420427,421,100.0,5.10688836104513
reference_excl_near_idle,c_15647,422,367,86.96682464454977,14.341232227488153,367,86.96682464454977,9.947867298578199,317,75.11848341232228,5.938388625592417
reference_excl_near_idle,c_15856,416,416,100.0,22.951923076923077,416,100.0,22.951923076923077,416,100.0,7.891826923076923
reference_excl_near_idle,c_16008,422,422,100.0,15.369668246445498,422,100.0,10.985781990521327,348,82.46445497630332,5.495260663507109
reference_excl_near_idle,c_16048,422,422,100.0,17.092417061611375,422,100.0,10.0260663507109,421,99.76303317535546,5.127962085308057
